date,open,high,low,close,volume,symbol
2022-11-22,625.0,633.55,623.85,625.7,86923.0,LICI.BSE
2022-11-21,639.0,640.25,625.65,627.15,124820.0,LICI.BSE
2022-11-18,647.0,647.0,636.7,638.85,40749.0,LICI.BSE
2022-11-17,638.0,648.7,637.3,643.65,138020.0,LICI.BSE
2022-11-16,652.0,655.0,641.0,642.85,199131.0,LICI.BSE
2022-11-15,664.8,671.3,651.7,655.1,253483.0,LICI.BSE
2022-11-14,666.1,682.7,654.6,664.8,842604.0,LICI.BSE
2022-11-11,625.0,633.55,624.9,628.05,40987.0,LICI.BSE
2022-11-10,633.5,635.1,619.0,620.8,66754.0,LICI.BSE
2022-11-09,633.3,637.45,630.2,631.2,120316.0,LICI.BSE
2022-11-07,628.15,637.95,628.15,633.3,141556.0,LICI.BSE
2022-11-04,628.0,630.25,626.45,628.05,114656.0,LICI.BSE
2022-11-03,617.1,628.85,616.1,625.65,111903.0,LICI.BSE
2022-11-02,606.0,622.15,602.95,619.1,244269.0,LICI.BSE
2022-11-01,609.0,609.25,603.95,605.35,128831.0,LICI.BSE
2022-10-31,605.05,617.1,603.0,604.0,307771.0,LICI.BSE
2022-10-28,595.45,597.0,591.2,592.95,47239.0,LICI.BSE
2022-10-27,595.35,598.1,594.95,595.45,48540.0,LICI.BSE
2022-10-25,599.6,599.8,594.4,595.5,84917.0,LICI.BSE
2022-10-21,601.0,601.45,588.0,589.3,223541.0,LICI.BSE
2022-10-20,607.0,607.0,600.5,601.25,127809.0,LICI.BSE
2022-10-19,608.05,611.0,606.0,607.15,81422.0,LICI.BSE
2022-10-18,610.05,612.3,607.5,607.85,112004.0,LICI.BSE
2022-10-17,612.5,613.9,608.05,608.75,106048.0,LICI.BSE
2022-10-14,616.95,619.1,612.0,613.05,41987.0,LICI.BSE
2022-10-13,615.4,617.9,611.0,611.5,39117.0,LICI.BSE
2022-10-12,620.1,623.0,614.1,615.4,95763.0,LICI.BSE
2022-10-11,620.35,625.7,618.1,619.65,38454.0,LICI.BSE
2022-10-10,620.55,622.45,618.15,619.3,99518.0,LICI.BSE
2022-10-07,628.7,629.9,624.0,624.5,81841.0,LICI.BSE
2022-10-06,629.35,635.5,628.15,628.95,49419.0,LICI.BSE
2022-10-04,623.0,631.6,623.0,629.2,109345.0,LICI.BSE
2022-10-03,621.3,624.95,619.3,620.75,51445.0,LICI.BSE
2022-09-30,619.4,626.35,617.05,621.5,61545.0,LICI.BSE
2022-09-29,624.1,627.0,617.0,619.3,63155.0,LICI.BSE
2022-09-28,627.0,628.0,620.15,621.15,129573.0,LICI.BSE
2022-09-27,631.25,637.45,628.05,629.05,163322.0,LICI.BSE
2022-09-26,640.55,641.35,629.3,630.8,199887.0,LICI.BSE
2022-09-23,651.0,653.0,641.85,642.85,172970.0,LICI.BSE
2022-09-22,652.5,658.9,648.0,649.85,158292.0,LICI.BSE
2022-09-21,656.05,659.85,651.95,652.5,124174.0,LICI.BSE
2022-09-20,655.15,665.0,655.15,656.35,120444.0,LICI.BSE
2022-09-19,657.1,663.5,654.05,654.8,130922.0,LICI.BSE
2022-09-16,667.75,671.65,653.7,654.85,114657.0,LICI.BSE
2022-09-15,663.0,676.6,660.2,671.5,147101.0,LICI.BSE
2022-09-14,664.05,678.0,661.7,663.2,139950.0,LICI.BSE
2022-09-13,653.7,673.25,653.2,670.2,487783.0,LICI.BSE
2022-09-12,653.55,656.9,652.0,652.25,164272.0,LICI.BSE
2022-09-09,656.65,658.9,652.65,653.35,74219.0,LICI.BSE
2022-09-08,656.1,658.95,652.15,653.7,63196.0,LICI.BSE
2022-09-07,651.55,655.5,651.0,653.1,147116.0,LICI.BSE
2022-09-06,661.05,664.1,651.2,652.8,101324.0,LICI.BSE
2022-09-05,665.0,668.7,658.5,659.65,205925.0,LICI.BSE
2022-09-02,670.3,672.8,664.0,664.9,142157.0,LICI.BSE
2022-09-01,670.0,676.75,668.0,668.9,134443.0,LICI.BSE
2022-08-30,670.25,676.7,670.25,673.55,32665.0,LICI.BSE
2022-08-29,670.0,674.85,667.65,669.95,74334.0,LICI.BSE
2022-08-26,678.7,682.65,678.0,678.75,103619.0,LICI.BSE
2022-08-25,677.15,683.0,677.0,677.9,107054.0,LICI.BSE
2022-08-24,673.05,682.0,672.0,676.45,142801.0,LICI.BSE
2022-08-23,673.1,678.85,670.45,671.15,152235.0,LICI.BSE
2022-08-22,686.5,686.5,675.0,675.45,68057.0,LICI.BSE
2022-08-19,697.05,698.5,683.5,685.8,209405.0,LICI.BSE
2022-08-18,699.9,703.0,695.1,696.3,175138.0,LICI.BSE
2022-08-17,700.4,703.95,697.0,698.4,177805.0,LICI.BSE
